brand,model,launch_year,rating,popularity,hits,success_rate
Apple,iPhone 14,2022,4.6,90,90000000,89
Apple,iPhone 14 Pro,2022,4.7,93,110000000,94
Apple,iPhone 15,2023,4.7,96,110000000,94
Apple,iPhone 15 Pro,2023,4.8,97,130000000,96
Apple,iPhone 16,2024,4.8,97,37000000,91
Apple,iPhone 16 Pro,2024,4.9,98,45000000,94
Apple,iPhone SE 3,2022,4.1,70,25000000,75


Samsung,Galaxy S23,2023,4.6,90,29400000,92
Samsung,Galaxy S23 Ultra,2023,4.8,95,40000000,96
Samsung,Galaxy S24,2024,4.7,94,37000000,95
Samsung,Galaxy S24 Ultra,2024,4.9,97,50000000,97
Samsung,Galaxy S25,2025,4.8,96,15000000,93
Samsung,Galaxy A52,2021,4.2,74,18000000,82
Samsung,Galaxy A53,2022,4.3,76,20000000,84
Samsung,Galaxy A54,2023,4.4,79,23000000,86
Samsung,Galaxy A55,2024,4.5,81,21000000,87


OnePlus,OnePlus 11,2023,4.4,81,15000000,86
OnePlus,OnePlus 11R,2023,4.3,78,13000000,84
OnePlus,OnePlus 12,2024,4.6,88,18000000,90
OnePlus,OnePlus 12R,2024,4.5,85,14000000,87
OnePlus,OnePlus 13,2025,4.7,92,5000000,88


Xiaomi,Mi 13,2023,4.5,80,17000000,88
Xiaomi,Mi 14,2024,4.6,84,19000000,91
Xiaomi,Mi 15,2025,4.6,87,6000000,89
Xiaomi,Redmi Note 10,2021,4.1,78,30000000,82
Xiaomi,Redmi Note 11,2022,4.2,80,33000000,84
Xiaomi,Redmi Note 12,2023,4.3,83,35000000,86
Xiaomi,Redmi Note 13,2024,4.4,85,32000000,87


Oppo,Reno 8,2023,4.4,78,13000000,86
Oppo,Reno 9,2024,4.5,82,15000000,89
Oppo,Reno 10,2025,4.6,85,5000000,87


Vivo,X80,2023,4.5,82,16000000,89
Vivo,X90,2024,4.6,86,18000000,91

